Planet,Title,Authors,Year of Publication,Summary,Length,Goodreads Id,polarity,subjectivity
Mars,Genesis,Frederick Turner,1988,"Originally published in 1988, Genesis was the first major work of fiction that addressed the idea of terraforming Mars. It not only suggested the idea, but provided a feasible solution for doing so. During its initial publication, Genesis was on the list of recommended reading at NASA, and has since gone on to enjoy cult status. Its acknowledged list of admirers includes such literary luminaries as Brian Aldiss, Amy Clampitt, Arthur C. Clarke, Thomas M. Disch, Kim Stanley Robinson, and Pulitzer Prize winning poet, James Merrill. It is with great pride that Ilium Press brings this influential and prescient work back into print.",303,3099329,0.226136364,0.471212121
Neptune,A Thunder on Neptune,Gordon Eklund,1989,"Most large bodies of the solar system have been colonized; Earth, following a nuclear war, is largely uninhabitable. Wise old Sam Goble, one of those leaders trying to put civilization's pieces back together, is recruiting some kids--special kids, it turns out, highly intelligent, adaptable, some with psychic powers. Why? Well, some powerful aliens have arrived on Neptune, transformed the planet, and settled down to wait for--contact? Via the MAGMOS process, humans can be bodily metamorphosed so that they can survive on Neptune (albeit in sluglike bodies), but those that have tried are either dead, insane, or missing--like Michael Hawkins, who somehow has found a way to survive among the aliens. So Sam's idea is to use children--being more adaptable and flexible than adults--and especially young Danny, the main character, and George, Michael's sons. Eventually, it emerges that the aliens came in response to the nuclear war; anticipating no survivors at all, they intend to create new life on Neptune.",274,3200234,0.138588896,0.471333637
Ceres,Buying Time,Joe Haldeman,1989,"In the 21st century, immortality via the complex operation known as the Stileman Process is attainable by a few wealthy and determined individuals, but the motivations that drive humans to live forever remain shrouded in mystery until ""immortals"" Dallas Barr and Maria Marconi stumble across a dangerous secret and find themselves fleeing for their lives--which have suddenly become very short.",304,21617,-0.091363636,0.459
The Moon,Phases of Gravity,Dan Simmons,1989,"Richard Baedecker thinks his greatest challenge was walking on the moon, but then he meets a mysterious woman who shows him his past. passion for space exploration, his forgotten childhood and the loss he experienced during the death-flight of the Challenger. the moon, but the warm interior of his heart. love and loss that transports readers far beyond the confines of space and time.",232,11284,0.392857143,0.764285714
Mars,The Road to Mars: A Post-Modem Novel,Eric Idle,1990,"With Monty Python's Flying Circus, Eric Idle proved he was one of the funniest people in the world. And with The Road to Mars he reaffirms this with a raucously sidesplitting vengence.Muscroft and Ashby are a comedy team on ""The Road to Mars,"" an interplanetary vaudeville circuit of the future. Accompanied by Carlton, a robot incapable of understanding irony but driven to learn the essence of humor, Alex and Lewis bumble their way into an intergalactic terrorist plot. Supported by a delicious cast, including a micropaleontologist narrator (he studies the evolutionary impact of the last ten minutes) and the ultra-diva Brenda Woolley, The Road to Mars is a fabulous trip through Eric Idle's inimitable world, a ""universe expanding at the speed of laughter.""",320,77215,0.183333333,0.465277778
Ceres,"The Stone Dogs (Draka, #3)",S.M. Stirling,1990,"Since the Draka conquest of Europe and most of Asia in the 1940s, the American-led Alliance and the Domination of the Draka have glared at each other across the oceans, restrained only by the threat of thermonuclear annihilation. In this Cold War there can be no compromise, no detente, no happy tearing down of walls, only ultimate enmity.The Alliance, using its superiority in computer technologies, is preparing a master stroke of electronic warfare. The Draka, supreme in the ruthless manipulation of life's genetic code, have a secret weapon of their own. Both sides await only the right moment to strike.From the manor-houses of the Draka aristocracy and the streets of an alternate-world New York to the farthest reaches of the Solar System, the Draka and their enemies carry on a struggle whose victor will decide the fate of humanity - to be forever free or forever slave.",522,801960,-0.044616331,0.685538155
The Moon,"Heads (Queen of Angels, #2)",Greg Bear,1990,Mickey awaits imminent chaos when his brother-in-law uses the moon's facilities in his quest for Absolute Zero and his sister Rho tries to read the memories of 410 cryogenically frozen heads.,151,340811,0.05,0.65
Jupiter,Behold a Pale Horse,Milton William Cooper,1991,"Former U.S. Naval Intelligence Briefing Team Member reveals information kept secret by our government since the 1940s. UFOs, the J.F.K. assassination, the Secret Government, the war on drugs and more by the world's leading expert on UFOs.",500,95379,-0.075,0.475
Ganymede,Buddy Holly is Alive and Well on Ganymede,Bradley Denton,1991,"Conceived in the backseat of a car on the day that Buddy Holly died, Oliver Vale turns on the TV one day to find Buddy Holly on every channel, and soon he is on the run from a pursuing mob of religious fanatics.",290,709610,0,0.25
Ganymede,"Entoverse (Giants, #4)",James P. Hogan,1991,"Human society on Jevlen was falling apart -- and it looked as if JEVEX, the immense super-computer that managed all Jevlenese affairs, was at the heart of the matter. Except that the problems didn't stop when JEVEX was shut down. People were changing -- or being changed. It was almost as if the Jevlenese were being possessed...Meanwhile, in a very different universe, where magic worked and nothing physical was predictable, holy men caught glimpses of another place, a place where the shape of objects remained unchanged by motion, and cause led directly and logically to effect. And the best part was that when the heart was pure, the mind was focused, and circumstances were right, some lucky souls could actually make the transition to that other universe. If only they all could...",411,849486,0.149183007,0.516027077
The Moon,"Lunar Descent (Near Space, #3)",Allen Steele,1991,Explosive science fiction-forged in Steele. The moondogs are responsible for maintaining Skycorp's most important off-world projects-and now they're going on strike.,325,1261763,0.366666667,0.683333333
Mars,"Labyrinth of Night (Near Space, #4)",Allen Steele,1992,"On Mars, a research team encounters an ancient puzzle that only a guitarist can solveIn 2029, an American research team ventures to Mars to investigate an astounding find: a labyrinth older than humanity itself, whose maze of rooms conceals the deepest secrets of the red planet. In the final chamber, strange music plays, as chilling as it is beautiful. It will be the last thing the scientist who discovers it ever hears. As the music rises to a climax, the chamber door closes, leaving him to die in the pitch dark.Where one explorer has failed, Ben Cassidy must not. An internationally famous guitarist, his music is the closest thing on Earth to Marss deadly hymn. The government sends him into space to solve a planetary mystery, but what Cassidy encounters is a team of researchers whose jealous competition is every bit as dangerous as the secrets of Mars.",340,686345,0.019047619,0.575
Mars,"Mars Prime (Rex Corvan, #2)",William C. Dietz,1992,"The sizzling sequel to Matrix Man. A one-way trip to the Red Planet turns into murder on the Martian express when a journalist and his wife attempt to cover a story. With a serial killer on the loose and a religious cult threatening rebellion, it's up to Kim and Rex to keep the settlement intact while they await the arrival of a new ship.",256,2921028,0.01486014,0.243444056
Mars,Mining the Oort,Frederik Pohl,1992,"Mars was harsh and unforgiving, but for the colonists who called it home, its future was as bright as the comets that hung in the night sky, for locked in those icy bodies were the water and gases that would make Mars live again, mined from the vast Oort Cloud beyond Pluto. Young Dekker DeWoe yearned to become an Oort miner. But when he finally arrived on Earth to begin training, the mining project was abruptly canceled. Then he began to hear rumors of a plan to force the restoration of the mining -- a plan that would result in the deaths of millions",480,1802145,0.056818182,0.625
Mars,The Season of Passage,Christopher Pike,1992,"Dr. Lauren Wagner was a celebrity. She was involved with the most exciting adventure mankind had ever undertaken. The whole world admired and respected her.But Lauren knew fear.Inside--voices entreating her to love them.Outside--the mystery of the missing group that had gone before her. The dead group.But were they simply dead?Or something else?A terrifying novel of horror--and, surprisingly, of salvation--from one of America's bestselling writers.A novel you won't forget.",448,137975,0.066666667,0.516666667
Mars,"Mars (The Grand Tour, #4)","Ben Bova, Bruno Bodin",1992,"Geologist Jamie Waterman is a last-minute replacement on the first international Mars landing team. He endures training rigors, personality conflicts, political intrigues, and over 100 million kilometers travel in space. The crew battle an alien landscape and earthbound bureaucrats. Heading toward a chasm over 10 times the Arizona Grand Canyon, they make a shocking find.",550,267282,-0.071428571,0.464285714
"Ganymede, Europa",Cold as Ice (Cold as Ice #1),Charles Sheffield,1992,"Twenty-five years ago there was a great interplanetary war in the Solar System. It was a suicidal spasm in which terrible weapons were created and used; in which nine billion people were killed. The rivalries that led to the war are not gone. And a few of those deadly weapons remain--some still orbiting the sun in the debris of destroyed ships,s some deliberately placed in storage.Now Cyrus Mobarak, the man who perfected the fusion engine, is determined to bring human settlement to the protected seas of Europa. Opposing him is Hilda Brandt, Europa's administrator. And caught between them are three remarkable young people: Jon Perry, Camille Hamilton, and Wilsa Sheer.",372,64743,0.005555556,0.472222222
Mars,"Moving Mars (Queen of Angels, #3)",Greg Bear,1993,"Moving Mars is a story of human courage and love set within the greater saga of a planetary liberation movement. Mars is a colonial world, governed by corporate interests on Earth. The citizens of Mars are hardworking, but held back by their lack of access to the best education, and the desire of the Earthly powers to keep the best new inventions for themselves. The young Martians -- the second and third generations born on Mars -- have little loyalty to Earth, and a strong belief that their planet can be independent. The revolution begins slowly, but will grow in power over decades of political struggle until it becomes irresistible. Told through the eyes of an extraordinary character, Casseia Majumdar, a daughter of one of Mars' oldest, most conservative Binding Multiples, Moving Mars is Greg Bear's brilliant conception of the human colonization of the red planet, with lovingly painted details and a grand historical sweep, embellishing an audacious scientific speculation.",448,340816,0.250647096,0.377619949
Mars,Red Dust,Paul McAuley,1993,This is a science fiction adventure story set on a terraformed Mars in the far future from the award-winning author of 'Eternal Light'.,400,92329,0.25,0.64375
"Mars, Titan","Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,1993,"In his most ambitious project to date, award-winning author Kim Stanley Robinson utilizes years of research &amp; cutting-edge science in the 1st of a trilogy chronicling the colonization of Mars: For eons, sandstorms have swept the desolate landscape. For centuries, Mars has beckoned humans to conquer its hostile climate. Now, in 2026, a group of 100 colonists is about to fulfill that destiny. John Boone, Maya Toitavna, Frank Chalmers &amp; Arkady Bogdanov lead a terraforming mission. For some, Mars will become a passion driving them to daring acts of courage &amp; madness. For others it offers an opportunity to strip the planet of its riches. For the genetic alchemists, it presents a chance to create a biomedical miracle, a breakthrough that could change all we know about life &amp; death. The colonists orbit giant satellite mirrors to reflect light to the surface. Black dust sprinkled on the polar caps will capture warmth. Massive tunnels, kilometers deep, will be drilled into the mantle to create stupendous vents of hot gases. Against this backdrop of epic upheaval, rivalries, loves &amp; friendships will form &amp; fall to pieces--for there are those who will fight to the death to prevent Mars from ever being changed. Brilliantly imagined, breathtaking in scope &amp; ingenuity, Red Mars is an epic scientific saga, chronicling the next step in evolution, creating a world in its entirety. It shows a future, with both glory &amp; tarnish, that awes with complexity &amp; inspires with vision.",572,77507,0.171052632,0.550438596
Pluto,Iceborn,"Gregory Benford, Paul A. Carter",1994,Pluto was the last place anyone expected to find life. That's why it's the last place they looked.,111,17211295,-0.033333333,0.177777778
Mars,Climbing Olympus,Kevin J. Anderson,1994,"Introducing Aspect, the new Science Fiction line from Warner Books. Kevin Anderson, the author of the Star Wars Jedi Academy trilogy, now examines the colonization of Mars by biologically-altered humans--exploring what it truly means to be human. Ties into Anderson's final book in the Jedi Academy trilogy, published by Bantam.",304,870864,0.045454545,0.518181818
"Mars, Titan","Green Mars (Mars Trilogy, #2)",Kim Stanley Robinson,1994,"In the Nebula Award winning Red Mars, Kim Stanley Robinson began his critically acclaimed epic saga of the colonization of Mars, Now the Hugo Award winning Green Mars continues the thrilling and timeless tale of humanity's struggle to survive at its farthest frontier. Nearly a generation has passed since the first pioneers landed, but the transformation of Mars to an Earthlike planet has just begun The plan is opposed by those determined to preserve the planets hostile, barren beauty. Led by rebels like Peter Clayborne, these young people are the first generation of children born on Mars. They will be joined by original settlers Maya Toitovna, Simon Frasier, and Sax Russell. Against this cosmic backdrop, passions, rivalries, and friendships explode in a story as spectacular as the planet itself.",624,77505,0.217307692,0.547435897
Mars,Mars Plus (Man Plus #2),"Frederik Pohl, Thomas T. Thomas",1994,"Fifty years after the colonization of Mars forced its new residents to undergo genetic and cyborg alteration, the Martian computer net, upon which all Martian life depends, develops a dangerous mind of its own. Reprint.",352,1400531,-0.032727273,0.510909091
Titan,Saturn's Child,"Nichelle Nichols, Margaret Wander Bonanno",1995,"From Nichelle Nichols and acclaimed Star Trek author Margaret Wander Bonanno come an extraordinary debut novel. This is the story of Saturna, born in the late 21st century with unearthly beauty and stunning powers. Half-human, hald-Fazisian, her very existence violates both Earth and Fazis laws--and could initiate all-out interplanetary war.",342,1253022,0.080952381,0.452380952
Mars,The Winds of Mars,Helen Mary Hoover,1995,"When rebel forces strike against her father, the all-powerful president of Mars, teenage Annalyn finds her comfortable existence turned upside-down and her life threatened from unexpected sources.",192,597344,0.128888889,0.617777778
"Mars, Jupiter, Saturn","Kaleidoscope Century (Century Next Door, #2)",John Barnes,1995,"Joshua Ali Quare lives life to the full - decades before, he was infected with a virus that ensures that for every fifteen years he lives, he gains another ten. After each virus induced coma, he wakes with his memory erased and ten years younger. This time round, in 2109, someone is looking for him and it is time to put the record straight once and for all; doing so takes us through a century of gripping future history.",252,1365524,0.083333333,0.275
Mars,"Bright Messengers (Rama, #1.5)",Gentry Lee,1995,"As civilization on earth faces destruction, two vastly different people share a vision both hopeful and tinged with danger. They also share a life on Mars, as a priestess acting on faith and an engineer focused on surviving the harsh red planet. The mystery spawned by a cloud of white particles holds them and Raman society spellbound in the debut novel of the co-author of such bestsellers as Rama II and Garden of Rama.",447,112522,-0.033333333,0.3
Ganymede,"The Ganymede Club (Cold As Ice, #2)",Charles Sheffield,1995,"Hugo and Nebula Award-winning author Charles Sheffield returns to the Solar System of his novel Cold As Ice, to spin a tale of the years immediately following the Great War, a horrifying spasm that was over in weeks, but killed half the human race.",342,709605,-0.070833333,0.483333333
Titan,Immortality Option,James P. Hogan,1995,"Titan, Saturn's largest moon, was frozen and lifeless...but only by some definitions! Organic life had never evolved on its barren surface, but somehow Titan had become home to the Taloids, a race of self-aware robots who lived in competing city-states, grew houses and tools, tended their robotic herds, and worshipped a god called the Lifemaker.When humans discovered the Taloids on Titan, they suspected that the robots' sentience had evolved by accident--artificial intelligence gone wrong. But where was the ancient civilization that had spawned them? With no help from the Taloids--who seemed to know nothing of their own origins--Earth's finest scientists were stumped.Then strange blocks of code were discovered in Titan's ancient computer banks. Neither Taloid digital DNA nor the operating system for Titan's robotic ""ecology,"" the code had clearly lain undisturbed for eons. But now, with human help, it was beginning to activate at last...",321,2223440,-0.033333333,0.4375
Ceres,The Killing Star,"Charles Pellegrino, George Zebrowski",1995,"The Apocalypse occurs nine days prior to America's Tri-Centennial celebration - when relativistic bombs launched by an unknown alien civilization finally reach their destinations. One man sees them approaching - but by then, it is already too late. And in a brief, incomprehensible instant, every inhabited planetary surface in the solar system is wiped clean. Life has ceased to exist. Now all that is left of humanity is a handful of survivors hiding between the planets in mobile space research facilities and experimental habitats - a small, terrified remnant of civilization struggling to make some sense of the catastrophe that has obliterated their past and future...while searching desperately for a means of escape before the Intruders' doomsday technology can detect and destroy them. Astonishingly, on a dead and sterile Earth, two people remain alive - a Jesuit and a pilot aboard the deep-diving submersible, Alvin, protected from the devastation by the cold, enveloping waters. An historian and a scientist, it is they whom destiny has chosen to wander the surreal, empty wastes of a terrifying ghost planet - to battle fear, loneliness and encroaching madness...and to await the inevitable arrival of the annihilators from the stars.",340,190678,-0.134722222,0.516666667
"Mercury, Mars, Titan","Blue Mars (Mars Trilogy, #3)",Kim Stanley Robinson,1996,"The red planet is red no longer, as Mars has become a perfectly inhabitable world. But while Mars flourishes, Earth is threatened by overpopulation and ecological disaster. Soon people look to Mars as a refuge, initiating a possible interplanetary conflict, as well as political strife between the Reds, who wish to preserve the planet in its desert state, and the Green ""terraformers"". The ultimate fate of Earth, as well as the possibility of new explorations into the solar system, stand in the balance",761,77504,0.148484848,0.494949495
Mars,River of Dust,Alexander Jablokov,1996,"A politician returns to Mars after a long interlude on Earth only to find his younger brother involved in a dangerous and underground cult movement. When the cult assassinates the governor, brother is pitted against brother in a personal conflict that mirrors the larger struggles of the troubled planet.",326,2033123,-0.164285714,0.585714286
"The Moon, Mars","Voyage (NASA Trilogy, #1)",Stephen Baxter,1996,"The space mission of a lifetime An epic saga of America's might-have-been, Voyage is a powerful, sweeping novel of how, if President Kennedy had lived, we could have sent a manned mission to Mars in the 1980s. Imaginatively created from the true lives and real events., Voyage returns to the geniuses of NASA and the excitement of the Saturn rocket, and includes historical figures from Neil Armstrong to Ronald Reagan who are interwoven with unforgettable characters whose dreams mirror the promise of a young space program that held the world in thrall. There is: Dana, the Nazi camp survivor who achieves the dream of his hated masters; Gershon, the Vietnam fighter jock determined to be the first African-American to land on another planet; and Natalie York, the brilliant geologist/astronaut who risks a career and love for the chance to run her fingers through the soil of another world.",784,843565,0.228571429,0.505952381
Mars,"The Stone Canal (The Fall Revolution, #2)",Ken MacLeod,1996,"Life on New Mars is tough for humans, but death is only a minor inconvenience. The machines know their place, the free market rules all, and only the Abolitionists object.Then a stranger arrives on New Mars, a clone who remember his life on Earth as Jonathan Wilde, the anarchist with a nuclear capability who was accused of losing World War III. This stranger also remembers one David Reid, who now serves as New Mars's leader. Long ago, it turns out, Wilde and Reid had shared ideals and fought over the same women.Moving from 20th-century Scotland through a tumultuous 21st century and outward to humanity's settlement on a planet circling another star, The Stone Canal is idea-driven sci-fi at its best., making real and believable a future where long lives, strange deaths, and unexpected knowledge await those who survive the wars and revolutions to come.",352,185825,0.106326422,0.447208931
"Jupiter, Saturn","The Reality Dysfunction (Night's Dawn, #1)",Peter F. Hamilton,1996,"In AD 2600 the human race is finally beginning to realize its full potential. Hundreds of colonized planets scattered across the galaxy host a multitude of prosperous and wildly diverse cultures. Genetic engineering has pushed evolution far beyond nature's boundaries, defeating disease and producing extraordinary spaceborn creatures. Huge fleets of sentient trader starships thrive on the wealth created by the industrialization of entire star systems. And throughout inhabited space the Confederation Navy keeps the peace. A true golden age is within our grasp.But now something has gone catastrophically wrong. On a primitive colony planet a renegade criminal's chance encounter with an utterly alien entity unleashes the most primal of all our fears. An extinct race which inhabited the galaxy aeons ago called it ""The Reality Dysfunction."" It is the nightmare which has prowled beside us since the beginning of history.",1223,45245,0.055208333,0.6890625
The Moon,"Moonrise (The Grand Tour, #5; Moonbase Saga, #1)",Ben Bova,1996,"There is a dream called Moonbase, nurtured by ex-astronaut Paul Stavenger and his wife, Joanna Masterson Stavenger, head of the powerful Masterson Corporation.There is a future of astonishing possibilities and vital technological development waiting on a lifeless world of astonishing contrasts, where sub-frigid darkness abuts the blood-boiling light -- a future threatened by greed and jealousy, insanity and murder.The Moon and its mysteries have captivated the Stavenger family, and it will continue to exert its pull upon subsequent generations. For all those who experience its magnificent desolation are haunted by it eternally. Some will be doomed by its pitiless aversion to human life.And some can never leave.",576,267287,0.172727273,0.590909091
"Venus, Ganymede","3001: The Final Odyssey (Space Odyssey, #4)",Arthur C. Clarke,1997,"One thousand years after the Jupiter mission to explore the mysterious Monolith had been destroyed, after Dave Bowman was transformed into the Star Child, Frank Poole drifted in space, frozen and forgotten, leaving the supercomputer HAL inoperable. But now Poole has returned to life, awakening in a world far different from the one he left behind--and just as the Monolith may be stirring once again...",272,63432,-0.06,0.66
Europa,A Spy in Europa,Alastair Reynolds,1997,"As a result of a second Maunder Minimum, economic power in the First System has shifted to the moons around Jupiter. The Europan Demarchy controls Europa and Io; Gilgamesh Isis controls Ganymede and Callisto. Both powers are vying for dominance. Marius Vargovic is a Gilgamesh agent who has been deployed to Europa to meet a woman known as Cholok, who has something that could threaten the cities of Europa. He lands in the city of Cadmus-Asterius, or C-A, a floating city whose top is built into the ice, but which descends eight kilometres into the ocean below. They meet in the city and Cholok reveals that she has a piece of ""Hyperdiamond"", a carbon compound that is extremely strong â€“ individual molecules can be hundreds of metres in diameter. Floating spheres of vacuum encased in hyperdiamond keep the city from sinking. If Gilgamesh can find a way to tamper with it, they could cause the Europan cities to collapse.  Marius is then operated on to give him the ability to breathe underwater. He asks Cholok about ""Denizens"", experimental cross-breeds between humans and fish to create the perfect underwater worker. She denies their existence. Marius kills her and leaves the city. As he swims northward to his extraction point, he is informed that it has been compromised. He swims southward, but the Demarchy is trailing him. He meets a group of Denizens who kill the Demarchist agents and inform him that Cholok created them, but the Demarchy turned them away and imprisoned them in their cave. The cave was warm enough to survive in, but if they went outside, their blood would freeze. Normally, they could make ""glycoproteins"" that would lower their freezing temperature, but the Demarchy has deactivated them. Cholok has, however, inserted a virus into Marius's blood that will reactivate the genes to make the proteins. To get it, they need to drink his blood. As such, they kill him.",32,25664965,0.036151101,0.471951618
Titan,Alpha Centauri,"William Barton, Michael Capobianco",1997,"The word in the year 2239 is that the human race is doomed. With the Earth groaning beneath the weight of 200 billion people and with the limit of derivable scientific knowledge frighteningly close at hand, scientists believe the human race will crash, burn and vanish by the end of the twenty-third century. The last hope of humanity travels with Captain Virginia Vonzell Qing-an, her androgynous lover, and eleven other crew members aboard Earth's first starship, Mother Night, on a colonizing mission to Alpha Centauri - the closest, most likely place to find worlds suitable for human habitation. It is the adventure of a lifetime, but plagued from the onset by programming errors, structural damage and irresponsible death. But a different kind of plague could doom the assignment and, ultimately, the civilization that conceived it. A terrorist group, Indigo, has infiltrated the ship - single-minded true believers convinced that the only cure for their world's population problems is rampant, viral-induced, sexually transmitted sterilization. And the stakes are about to reach astronomical proportions. Because an artifact exists on a rocky moon called Atalanta, an impossibly ancient remnant of an alien race that offers possible solutions to humanity's gravest dilemma - and a hope and knowledge beyond present mortal comprehension - but only if Mother Night's besieged mission can somehow, miraculously, be salvaged.",448,675513,0.051537698,0.553025794
Saturn,Saturn Rukh,Robert L. Forward,1997,In the near future five intrepid men and women have been paid a billion dollars each to risk the first voyage into the upper atmosphere of Saturn. The goal: to convert atmospheric chemicals into fuel to power interplanetary spaceships. But no one anticipates a crash landing on one of the enormous flying creatures known as rukhs that live in Saturn's atmosphere.,352,263467,0.069480519,0.322619048
Jupiter,The Billion Dollar Boy,Charles Sheffield,1997,"New York Public Library ""Best Books for the Teen Age"" selectionShelby Cheever V is a spoiled brat. He is also the richest kid in the country. Actually, make that the universe. Bored with his all-the-amusements-money-can-buy life, he decides on a bit of interstellar action, Shelby-style. But it turns out life on a starship is not all fun and games. As part of a crew, Shelby has a few things to learn. Like, how to follow orders instead of simply giving orders. Can Shelby learn how to cooperate with his crewmates?He may not have a choice. When Shelby becomes the target of a hostage-for-ransom scheme, he'll need all the help he can get.",256,716527,0.083636364,0.267835498
Mars,Mars Underground,William K. Hartmann,1997,"2032. The human race has established colonies on Mars. For years Dr. Alwyn Stafford researched its biggest mystery: Did life evolve on the Red Planet? The answer, except for simple, long-dead microorganisms, was no.Now retired, Stafford stubbornly continues his quest. Rumors say he's been going farther than ever before into the Martian deserts.Then he goes out and doesn't return. As the search for him grow, it becomes apparent that the old man found something that will forever change humanity's place in the cosmos...",352,1717016,-0.014285714,0.258163265
Jupiter,"The Neutronium Alchemist (Night's Dawn, #2)",Peter F. Hamilton,1997,"Not every fallen angel comes from heaven...The ancient menace has finally escaped from Lalonde, shattering the Confederation's peaceful existence. Those who succumbed to it have acquired godlike powers, but now follow a far from divine gospel as they advance inexorably from world to world.On planets and asteroids, individuals battle for survival against the strange and brutal forces unleashed upon the universe. Governments teeter on the brink of anarchy, the Conferderation Navy is dangerously over-stretched, and a dark messiah prepares to invoke his own version of the final Night.In such desperate times the last thing the galaxy needs is a new and terrifyingly powerful weapon. Yet Dr Alkad Mzu is determined to retrieve the Alchemist - so she can complete her thirty-year vendetta to slay a star. Which means Joshua Calvert has to find Dr. Mzu and bring her back before the alchemist can be reactivated.But he's not alone in the chase, and there are people on both sides who have their own ideas about how to use the ultimate doomsday device.",1273,479561,-0.012559809,0.651116427
Titan,"Titan (NASA Trilogy, #2)",Stephen Baxter,1997,"Humankind's greatest--and last--adventure! Possible signs of organic life have been found on Titan, Saturn's largest moon. A group of visionaries led by NASA's Paula Benacerraf plan a daring one-way mission that will cost them everything. Taking nearly a decade, the billion-mile voyage includes a ""slingshot"" transit of Venus, a catastrophic solar storm, and a constant struggle to keep the ship and crew functioning. But it is on the icy surface of Titan itself that the true adventure begins. In the orange methane slush the astronauts will discover the secret of life's origins and reach for a human destiny beyond their wildest dreams.",688,1162296,0.105555556,0.483333333
The Moon,"Moonwar (The Grand Tour, #6; Moonbase Saga, #2)",Ben Bova,1997,"Ben Bova's extraordinary Moonbase Saga continues with a breathtaking near-future adventure rich in character and incident. The action begins seven years after the indomitable Stavenger family has realized its cherished dream of establishing a colony on the inhospitable lunar surface. Moonbase is now a thriving community under the leadership of Doug Stavenger, a marvel of scientific ahievement created and supported by nanotechnology: virus-size machines that can build, cure, and destroy. But nanotechnology has been declared illegal by the home planet's leaders. And a powerful despot is determined to lay claim to Stavenger's peaceful city...or obliterate it, if necessary. The people of Moonbase--a colony with no arms or military--must now defend themselves from earth-born aggression with the only weapon at their disposal: the astonishing technology that sustains their endangered home.",512,267298,0.143888889,0.625
Ganymede,Bloom,Wil McCarthy,1998,"A plague of self-replicating organisms, the product of twenty-first-century bioengineering, spreads across the globe and forces humanity to flee to the asteroid belt, where a crew of desperadoes is chosen for a suicidal mission.",320,1360131,0.25,0.333333333
Jupiter,"The Cassini Division (The Fall Revolution, #3)",Ken MacLeod,1998,"Ellen May Ngewthu is a soldier and leader of the Cassini Division, the elite defense force of the utopian Solar Union. Here in the twenty-fourth century, the forts of the Division, in orbit around Jupiter, are the front line in humanity's long standoff with the unknowable post-humans godlike beings descended from the men and women who transformed themselves with high technology centuries ago.The post-humans' capacities are unknown . . . but we know they disintegrated Ganymede, we know they punched a wormhole into Jovian space, and we know that the very surface of the solar system's largest planet has been altered by them. Worse, we know that they have been bombarding the inner solar system with powerful data viruses for generations.Now Ellen has a plan to rid humanity of this threat once and for all. But she needs to convince others to mistrust the post-humans as much as she does. In the process, much will be revealed--about history, about power, and about what it is to be human.",320,567621,0.046363636,0.373333333
Mars,"Semper Mars (Heritage Trilogy, #1)",Ian Douglas,1998,"The Year is 2040.The Marines have landed on Mars to guard the unearthed secrets of an ancient and dangerous alien race: Ourselves.Scientists have discovered something astonishing in the subterranean ruins of a sprawling Martian city: startling evidence of an alternative history that threatens to split humanity into opposing factions and plunge the Earth into chaos and war. The USMC -- a branch of a military considered, until just recently, to be obsolete -- has dispatched the Marine Mars Expeditionary Force, a thirty-man weapons platoon, to the Red Planet to protect American civilians and interest with lethal force if necessary.Because great powers are willing to devastate a world in order to keep an ancient secret buried. Because something that was hidden in the Martian dust for half a million years has just been unearthed . . . something that calls into question every belief that forms the delicate foundation of civilization . . .Something inexplicably human.",384,205258,-0.067708333,0.4625
The Moon,"Moonseed (NASA Trilogy, #3)",Stephen Baxter,1998,"It Eats Planets. And It's Here. It starts when Venus explodes into a brilliant cloud of dust and debris, showering Earth with radiation and bizarre particles that wipe out all the crops and half the life in the oceans, and fry the ozone layer. Days later, a few specks of moon rock kicked up from the last Apollo mission fall upon a lava crag in Scotland. That's all it takes . . .Suddenly, the ground itself begins melting into pools of dust that grow larger every day. For what has demolished Venus, and now threatens Earth itself, is part machine, part life-form: a nano-virus, dubbed Moonseed, that attacks planets.Four scientists are all that stand between Moonseed and Earth's extinction, four brilliant minds that must race to cut off the virus and save what's left of Earth--a pulse-stopping battle for discovery that will lead them from the Earth's inner core to a daredevil Moon voyage that could save, or damn, us all.",672,63775,0.183333333,0.36
Titan,Half Life,Hal Clement,1999,"In about two hundred years, the human race on Earth is perhaps facing extinction due to the rapid evolution of disease. A crew of young men and women travel to the moons of Saturn, to Titan, to investigate the biochemistry of the pre-life conditions there in the slim hope of discovering something that might save Earth. The whole story runs at high-speed, as they race to find answers across the surface of an alien landscape with death close behind . . . and gaining.",272,1875498,-0.045,0.466428571
Mars,"Return to Mars (The Grand Tour, #7)",Ben Bova,1999,"Six years after the first manned Martian expedition, a second has been announced -- one motivated purely by its profitable potential -- and half-Navajo, half-Anglo geologist Jamie Waterman's conflicted soul is beckoning him back to the eerie, unforgiving planet. As commander of the new exploratory team, he will have to contend with a bitter and destructive rivalry, a disturbing new emotional attraction, and deadly, incomprehensible ""accidents"" that appear to be sabotage, all of which could doom the mission to failure. But there is much more at stake than Waterman's personal redemption and the safety of his crew. For there are still great secrets to be uncovered on this cruel and enigmatic world -- not the least being something he glimpsed in the far distance during his first Martian excursion: an improbable structure perched high in the planet's carmine cliffs; a dwelling that only an intelligent being could have built.",560,267310,-0.014925445,0.542558923
